,index,Player,Value,Year
436,629,Tyson Chandler,10.444856,2020
437,789,John Jenkins,10.433674,2020
438,851,J.P. Macura,10.29341,2020
439,694,Raymond Felton,10.286907,2020
440,1040,Alan Williams,10.261532,2020
441,970,Thabo Sefolosha,10.243109,2020
442,1010,Gary Trent,10.216682,2020
443,998,Milos Teodosic,10.195263,2020
444,604,Lorenzo Brown,10.1799345,2020
445,994,Caleb Swanigan,10.082189,2020
446,665,Marcus Derrickson,10.057064,2020
447,1034,Thomas Welsh,10.051788,2020
448,781,Demetrius Jackson,10.037346,2020
449,621,Vince Carter,9.843163,2020
450,889,Jaylen Morris,9.798824,2020
451,826,Courtney Lee,9.789247,2020
452,869,Ben McLemore,9.7856455,2020
453,681,Vince Edwards,9.76981,2020
454,558,Wade Baldwin,9.766505,2020
455,897,Dzanan Musa,9.682325,2020
456,1018,Jarred Vanderbilt,9.646609,2020
457,627,Troy Caupain,9.608359,2020
458,1015,Ekpe Udoh,9.549679,2020
459,1003,Khyri Thomas,9.54637,2020
460,904,Georges Niang,9.543955,2020
461,598,Ryan Broekhoff,9.537117,2020
462,1008,Anthony Tolliver,9.50406,2020
463,1004,Lance Thomas,9.499276,2020
464,686,Drew Eubanks,9.387624,2020
465,861,Tahjere McCall,9.382531,2020
466,612,Deonte Burton,9.380981,2020
467,661,Angel Delgado,9.307225,2020
468,703,Jimmer Fredette,9.306024,2020
469,844,Kalin Lucas,9.289365,2020
470,680,Trevon Duval,9.272702,2020
471,914,Semi Ojeleye,9.235161,2020
472,687,Jacob Evans,9.229984,2020
473,888,Eric Moreland,9.188802,2020
474,856,Jarell Martin,9.165331,2020
475,797,Wesley Johnson,9.094323,2020
476,688,Jawun Evans,9.087393,2020
477,1052,Guerschon Yabusele,9.086107,2020
478,755,Nene Hilario,9.0809555,2020
479,874,Chimezie Metu,9.061109,2020
480,658,Tyler Davis,8.952762,2020
481,878,Malcolm Miller,8.949083,2020
482,788,Amile Jefferson,8.934613,2020
483,999,Jared Terrell,8.933278,2020
484,860,Luc Mbah a Moute,8.867528,2020
485,843,Jordan Loyd,8.851484,2020
486,631,Joe Chealey,8.846358,2020
487,953,Duncan Robinson,8.80456,2020
488,651,Dante Cunningham,8.791367999999999,2020
489,926,Patrick Patterson,8.771677,2020
490,632,Chris Chiozza,8.716379,2020
491,615,Jose Calderon,8.693738,2020
492,832,Jon Leuer,8.547042,2020
493,717,Brandon Goodwin,8.500782000000001,2020
494,985,Jason Smith,8.476288,2020
495,848,Scott Machado,8.437699,2020
496,531,Quincy Acy,8.4083395,2020
497,791,Alize Johnson,8.191324,2020
498,557,Ron Baker,8.04455,2020
499,704,Channing Frye,8.017188,2020
500,548,Kostas Antetokounmpo,8.015466,2020
501,725,Donte Grantham,7.990697,2020
502,884,Naz Mitrou-Long,7.8396807,2020
503,701,Melvin Frazier,7.7851195,2020
504,576,Dairis Bertans,7.76111,2020
505,858,Yante Maten,7.752016,2020
506,1053,Nick Young,7.6575966,2020
507,1007,Sindarius Thornwell,7.607661200000001,2020
508,1041,C.J. Williams,7.562434700000002,2020
509,947,Davon Reed,7.554927,2020
510,846,Tyler Lydon,7.462417599999998,2020
511,942,Zhou Qi,7.455424000000002,2020
512,545,Ryan Anderson,7.451703500000002,2020
513,536,DeVaughn Akoon-Purcell,7.449794,2020
514,950,Malachi Richardson,7.437432,2020
515,979,Kobi Simmons,7.3930855,2020
516,811,George King,7.3555307,2020
517,909,James Nunnally,7.164573,2020
518,893,Donatas Motiejunas,7.131866499999999,2020
