Player,PTS2,BLK2,STL2,AST2,TRB2,Value,Year
Gary Trent,2.7,0.1,0.1,0.3,0.7,4.59,2019
George Hill,7.6,0.1,0.9,2.3,2.5,17.05,2019
George King,0.0,0.0,0.0,0.0,1.0,1.2,2019
Georges Niang,4.0,0.1,0.2,0.6,1.5,7.6,2019
Gerald Green,9.2,0.4,0.5,0.5,2.5,15.65,2019
Giannis Antetokounmpo,27.7,1.5,1.3,5.9,12.5,59.95,2019
Glenn Robinson,4.2,0.2,0.3,0.4,1.5,8.1,2019
Goran Dragic,13.7,0.1,0.8,4.8,3.1,27.32,2019
Gordon Hayward,11.5,0.3,0.9,3.4,4.5,25.6,2019
Gorgui Dieng,6.4,0.5,0.6,0.9,4.1,15.97,2019
Grayson Allen,5.6,0.2,0.2,0.7,0.6,8.57,2019
Greg Monroe,5.3,0.2,0.3,0.6,4.0,12.5,2019
Guerschon Yabusele,2.3,0.2,0.2,0.4,1.3,5.66,2019
Hamidou Diallo,3.7,0.2,0.4,0.3,1.9,8.23,2019
Harrison Barnes,16.4,0.2,0.6,1.5,4.7,26.69,2019
Harry Giles,7.0,0.4,0.5,1.5,3.8,16.51,2019
Hassan Whiteside,12.3,1.9,0.6,0.8,11.3,34.56,2019
Haywood Highsmith,1.8,0.0,0.2,0.4,1.0,4.2,2019
Henry Ellenson,6.0,0.1,0.4,0.8,3.5,12.9,2019
Ian Clark,6.7,0.1,0.4,1.6,1.5,12.4,2019
Ian Mahinmi,4.1,0.5,0.7,0.7,3.8,13.31,2019
Ike Anigbogu,0.0,0.3,0.0,0.3,1.0,2.55,2019
Iman Shumpert,7.5,0.4,1.0,1.8,3.0,18.0,2019
Isaac Bonga,0.9,0.2,0.4,0.7,1.1,5.07,2019
Isaac Humphries,3.0,0.0,0.2,0.0,2.2,6.24,2019
Isaiah Briscoe,3.5,0.1,0.3,2.2,1.9,10.28,2019
Isaiah Canaan,6.0,0.1,0.5,2.8,1.9,14.28,2019
Isaiah Hartenstein,1.9,0.4,0.3,0.5,1.7,6.79,2019
Isaiah Hicks,4.0,1.0,0.3,0.7,2.3,11.71,2019
Isaiah Thomas,8.1,0.1,0.4,1.9,1.1,13.77,2019
Ish Smith,8.9,0.2,0.5,3.6,2.6,19.52,2019
Ivan Rabb,5.8,0.3,0.3,1.1,4.2,14.29,2019
Ivica Zubac,8.9,0.9,0.2,1.1,6.1,21.17,2019
J.J. Barea,10.9,0.0,0.6,5.6,2.5,24.1,2019
J.J. Redick,18.1,0.2,0.4,2.7,2.4,26.83,2019
J.P. Macura,3.0,0.0,0.0,1.0,1.5,6.3,2019
J.R. Smith,6.7,0.3,1.0,1.9,1.6,15.37,2019
JaKarr Sampson,20.0,0.8,1.0,1.0,8.0,36.5,2019
JaMychal Green,9.4,0.5,0.7,0.8,6.3,21.76,2019
JaVale McGee,12.0,2.0,0.6,0.7,7.5,29.85,2019
Jabari Parker,14.5,0.5,0.7,2.4,6.6,29.62,2019
Jacob Evans,1.3,0.1,0.2,0.8,0.8,4.36,2019
Jae Crowder,11.9,0.4,0.8,1.7,4.8,23.81,2019
Jahlil Okafor,8.2,0.7,0.3,0.7,4.7,17.89,2019
Jake Layman,7.6,0.4,0.4,0.7,3.1,14.77,2019
Jakob Poeltl,5.5,0.9,0.4,1.2,5.3,17.56,2019
Jalen Brunson,9.3,0.1,0.5,3.2,2.3,18.66,2019
Jalen Jones,5.1,0.1,0.6,0.4,2.1,10.32,2019
Jamal Crawford,7.9,0.2,0.5,3.6,1.3,16.96,2019
